Timestamp,Age (in whole years),Gender,"Please write as many words as you can beginning with the letter ""A"".",Please write down as many different types of animal as you can.,Please write down as many swear words as you can.
30/08/2019 11:55:54,,Woman,animal alpha alphabet anonymous architect ,Cat dog elephant tiger leopard wolf horse mouse rat giraffe zebra mule,Fuck cunt motherfucker bloody shite
30/08/2019 11:58:58,30,Woman,"Anniversary,  Annual,  Analog, Analysis, Apple, Announced, Announcement, Assistant, Assault, Android, ","Cat,  Dog,  Orca,  Dolphin,  shark,  Octopus, Jellyfish,  Snake,  Turtle,  Scorpion,  Elephant,  Zebra,  Giraffe, Monkey,  Llama,  Polar bear, Grizzly bear,  Alpaca,  Dinosaur,  Meglasaur,  Beaver,  Sheep, Fox,  Panda","Fuck,  cunt,  Arsehole,  Arse,  Twat,  shit, Shitbag, Bullshit, Moron, Retard"
30/08/2019 12:06:09,46,Woman,Angle art aseptic add although also alternate alternatives all adder age are ,Lion tiger dog cat iguana snake horse pig cow rabbit fox hound bird leopard rhino elephant crocodile ,Fuck shit  asshole  dickhead cunt  
30/08/2019 12:06:10,35,Woman,Angry apathy antique anxious attractive ample aardvark analyst all and any apple arse assess assay antipathy antiquated acknowledgement ape advice ,Ape aardvark monkey lemur cat dog hamster degu rabbit guineapig giraffe lion tiger bear antelope ferret llama alpaca camel koala panda newt ,Fuck arse bitch dick douche cunt shit bastard motherfucker douchecanoe balls 
30/08/2019 12:06:10,38,Woman,And amen also afraid acid acidic acidi arid America amazing arithmetic also any anybody archaic ablaze alright add abstract adverb adjective area are aerial aeroplane aeronautic acrobatic aerobic athlete athletic ability able art amateur another alter altar appropriate afraid arachnophobia arable,Cat dog fox cow sheep lizard bird dolphin horse pony llama beetle butterfly goose donkey deer stallion ladybird fish turtle puffin,Fuck shit bastard bugger arsehole cunt dick dickhead fucking shite shitebag fud 
30/08/2019 12:06:10,30,Woman,Apple ant alien alphabet antelope animal arm arse alight align assessment Armageddon arsehole arithmetic and anything any all ,Cow dog cat duck goose hamster chicken elephant giraffe rhino antelope ant alligator crocodile moose deer hedgehog whale dolphins fish starfish penguin cheetah monkey human ,Shit bitch whore cunt cumbag fuck bullshit asshole motherfucker dammit 
30/08/2019 12:06:10,35,Woman,"Ass, ablist absolute ape Apple angry anus awful attend and are all about anything",Goose frog cat snake bird horse chicken dog llama goat chicken lion cheetah zebra elephant giraffe vulture Tiger,Cunt bitch dickhead shit fuck ass dick shithead fud asshole fag dyke slut
30/08/2019 12:06:11,46,Woman,"Apple
Aeroplane
Anonymous
Amazon
Ape
Animal
Anniversary
Able
Ability
Awareness
Actual
Actor
Actress
Aunt
Amaryllis
Arms
Armour
Aneroid
America


","Cows
Dogs
Cats
Sheep
Horses
Camels
Lions
Bears
Elephants
Snakes
Foxes
Penguins","Fuck
Bugger
Cunt
Bastard
Slut
"
30/08/2019 12:06:11,43,Man,"Anyway 
And 
Anyone 
always
Await
Awesome 
Attack
Amazing 
Ant
Aqua 
","Cat
Dog
Tiger
Lion
Fish
Pig
Cow
Spider
Lobster
Shark
Whale
Emu
Sparrow
Hawk
Crocodile 
Sheep
Goat
Lemur
"," Cock 
Fuck
Cunt
Shit
Prick
Bollocks
Bugger
Cocksmoker
Bumface

"
30/08/2019 12:06:11,42,Woman,Arse accolade advent ardently after advert affronted agony anger attributable ,Aardvark giraffe cow chicken duck bird goose tiger lion zebra gazelle dog cat ,Shit fuck cunt arsehat arsepiece fanny 
30/08/2019 12:06:11,,Woman,Abacus aim able avid avoid amble apple acre art ancillary able about ace and aid affable articulate ache adamant ate anoint android assure as arch area aster astute assorted asserted ambiance ambulance abut abase abridged access accord according accommodation accordingly actor acidic acrimony acrimonious  associate association asinine arginine agriculture ,Tiger elephants lion hyena bull cow dog cat giraffe wildebeest wolf vole ,Fuck damn bastard cunt motherfucker arse bloody swine 
30/08/2019 12:06:11,43,Woman,Arse arsewipe ass armpit angry anti amp aggressive alcohol alkaline Armageddon armadillo amaryllis across accent accentuate apres apperitif ampule  ,Zebra cat dog horse pig pigeon bird goat cow whale shark fish frog starfish seahorse dolphin eagle gazelle lion jaguar tiger cheetah vulture elephant,Cunt blow cockwomble arsewipe fuck bastard bollox bitch fudgepacket 
30/08/2019 12:06:11,38,Woman,"Alphabet
Apple
Any
And
Anything
Are
Arse","Zebra
Monkey
Lion
Dog
Cat
Bear
Meerkat
","Arsehole
Fuck
Shit
Piss
Fuckwit
Bollocks
Bastard
Bitch
"
30/08/2019 12:06:11,27,Woman,"Angola, amazing, awkwards aardvark, antique, ant, amarillo, asshole, asian, aristochratic, algeria, altitude, attitude, arithmetic","Fox, dolphin sloth, dog, cat, chicken, bird, owl, dinosaur, shark, walrus, wolf, rabbit, hare, lion, leopard, tiget, zebra, mouse, elephant, whale","Shit, fuck, arse, asshole, cunt, hell, damn, arsehole, piss, wanker, motherfucker, bawbag"
30/08/2019 12:06:12,45,Woman,Aunt and as and at art party artistic add addition aardvark ask ask attitude ache ate was all alleviate ,Cow dog horse hen pig sheep lamb calf hippo hamster  rabbit and beetle puppy spider polar bear elephant  giraffe monkey zebra foal ape snake  lizard fish eel ,Fuck cunt ass arse fuckwit shit asswipe twat fanny   
30/08/2019 12:06:12,,Woman,"Avery alphabet age Arabic


","Dog cat sheep horse goat elephant rat mouse bird Swan guinea-pig pig giraffe zebra lion tiger hyena antelope gizelle moose stag fly mosquito
","Fuck shit crap shite bollucks
Bloody hell satan piss arse ass dick bitch cunt 
"
30/08/2019 12:06:12,29,Man,Ant animal aardvark aim arse arial anonymous afterwards airport amphibian all about air ,Aardvark amphibian ant dog cat bird Eagle elephant ,Fuck cunt bastard arse prick mother fucker bawbag dickhead cock 
30/08/2019 12:06:12,57,Man,A am an ant arm abject army abuse aver avid armour askance adult avoid about abet aa,Dog cat spider fish giraffe bear lion tiger puma cougar lynx hyena antelope elephant mouse rat hare rabbit,Fuck shit bastard arsehole cunt prick dick twat pimp fanny 
30/08/2019 12:06:13,23,Other,And an amazing app artist astonishing ass arse animal alphabet acquire actually access academic admit,Giraffe horse cow cat dog donkey lion tiger chicken fox wolf bear zebra tortoise fish,fuck ass arse shit cunt fucking goddamn hell jesusfuckingchrist
30/08/2019 12:06:13,22,Man,Army ass also art awesome aardvark and ant answer air age ancient as arch arse axe ads add addition additional,Cat dog horse ant aardvark horse gorilla monkey bird parakeet snake lizard parrot equine canine feline pollinator predator ,Fuck ass arse cunt motherfucker nigger dick pussy snatch shag 
30/08/2019 12:06:14,25,Woman,"Angel, act, arouse, alphabet, arrogant, ask, alien, alive, alert, ass, affront, align, ","Dog, cat, horse, mouse, rat, elephant, ox, tiger, lion, bird, rabbit, snake, tortoise, turtle, fish, monkey, zebra, antelope, hyena, ","Fuck, cunt, bollocks, bastard, bitch, shit, piss, fanny, bloody, bugger, tits, "
30/08/2019 12:06:14,35,Woman,Apple ally actually actualise actual ant abracadabra accelerator accelerate accentuate according accordingly accolade accept acceptance allow associate ,Leopard dolphin tiger giraffe lion zebra dog cat horse monkey gorilla sheep goat shark puma bear kangaroo snake mouse rat ,Prick dick cunt arsehole fuck fuckhead fanny fud twat knob knobjockey shite shit shithead arsewipe cunto
30/08/2019 12:06:15,26,Man,Apple aardvark animal anus ass asshole ample ambiguous antipathy animosity anger absurd absurdity adenoids adenopathy art artistic autistic autism auto aliphatic,Dog cat aardvark elephant ostrich llama guineapig squirrel squid octopus millipede mosquito mouse giraffe osprey robin ,Ass asshole shit fuck cunt fanny bitch slut
